q01_num_hijos,q02a_age_2nd_child_to_1st,q02b_age_3rd_child_to_1st,q02c_age_4th_child_to_1st,q03_help,q04_excedencia_all,q05_duration_child,q06_duration_child,q07_duration_child,q08_main_reason,q09a_secondary_reason,q09b_secondary_reason,q09c_secondary_reason,q09d_secondary_reason,q10_diff_reasons,q11_other_ask,q12_other_not_reason,q13a_conciliation_opts,q13b_conciliation_opts,q13c_conciliation_opts,q14_company_reaction,q15_mates_reaction,q16_formation_time,q17_work_during,q18_back_work,q19_tasks_after,q20_current_tasks,q21_excedencia_general_evaluation,q22_excedencia_needs_improvements,q23_excedencia_specify_improvements,q24_conciliation_general_evaluation,q25_conciliation_needs_improvements,q26_conciliation_specify_improvements,q27_experience_description,q28_comments,q29_genre,q31_civil_status,q32_education,q33_job,q34_contract
3,3,7,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,"13 meses, 2° hijo","17 meses, 3er hijo",No,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,Los mismos. Poder estar yo con ellos todo el tiempo,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Indiferencia,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,5,"Sí, creo que necesita alguna mejora.",Retribución como en otros países,5,"Sí, creo que necesita alguna mejora.",Flexibilidad horaria. Días al año por enfermedad de hijos a cargo,"Tensión laboral, hijos atendidos y con fuertes vínculos, satisfacción personal",No,Mujer,Casado/a,Doctorado,Trabajo en el sector privado,Indefinido
3,3,8,,"No, no cuento con nadie más",no,,84,,Quería dedicarme por completo a mi/s hijo/s,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,No contaba con ayuda externa de familiares,NA,NA,,no,No nos planteamos esa opción,"Como al final el trabajo tiene que salir, se echan horas extras no remuneradas; una reducción de jornada es una reducción de salario pero no de carga de trabajo ",Flexibilidad de horario,Reducción de jornada,Comprensión,Comprensión,"No, recurrí a una escuela infantil/cuidador/similar para tener tiempo",No,Salí del mercado laboral,otros: No me reincorporé ,No estoy trabajando actualmente,4,"Sí, creo que necesita alguna mejora.",Algo que incluya un periodo mixto de formación y actualización y trabajo en el momento de la reincorporación . Ya que el periodo de excedencia en teoría es para estar con el hijo ,4,"Sí, creo que necesita alguna mejora.","Mayor flexibilidad horaria y posibilidad de teletrabajo (para asistencia a reuniones escolares, días de niños enfermos o noches difíciles), posibilidad de interrupciones pactadas de contrato en épocas estivales, o reducción de salario por aumento de días de vacaciones por periodos de nacidad y Semana Santa, por ejemplo. ","Alivio, relajación y a la vez incertidumbre/miedo ",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),otros: No trabajo ahora ,otros: Ya no trabajo. Era indefinido 
2,2,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,24 segundo,,,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),"Salud de la madre (posparto complicado, etc.)",NA,NA,,no,otros: Decidimos que era mejor que la tomara solo yo,No facilita ninguna de estas opciones,NA,NA,Hostilidad,Comprensión,"No, recurrí a una escuela infantil/cuidador/similar para tener tiempo",Realicé algún trabajo sin contrato,La excedencia no ha acabado aún,otros: No aplica,otros: No aplica,3,"Sí, creo que necesita alguna mejora.",,2,"Sí, creo que necesita alguna mejora.",,,,Mujer,Casado/a,Formación profesional ,Trabajo en el sector privado,Indefinido
2,2,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,24 segundo hijo,,,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),Mi puesto de trabajo no permitía la conciliación con la vida familiar ,"Salud de la madre (posparto complicado, etc.)",NA,,no,otros: Decidimos que era mejor que la tomara yo por una cuestión laboral,No facilita ninguna de estas opciones,NA,NA,Hostilidad,Comprensión,"No, recurrí a una escuela infantil/cuidador/similar para tener tiempo",Realicé algún trabajo sin contrato,La excedencia no ha acabado aún,otros: No aplica,otros: No aplica,2,"Sí, creo que necesita alguna mejora.",Con un permiso de paternidad y maternidad de doce meses cada uno no haría falta la figura de la excedencia,1,"Sí, creo que necesita alguna mejora.",Permiso de paternidad y maternidad de doce meses cada uno,"La excedencia es un mal menor, un fallo del sistema, pero también una oportunidad ",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,7,,,"No, no cuento con nadie más",no,De momento he cogido 5 meses de excedencia con mi segundo hijo.,No es mi caso.,No es mi caso.,No contaba con ayuda externa de familiares,"Para organizarme con un nuevo miembro en la familia y una vez haya conseguido esto volveré a trabajar. Después intentaré conciliar la vida laboral con la familiar, a ver si lo consigo.",NA,NA,NA,No es mi caso.,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Flexibilidad de horario,Reducción de jornada,NA,Indiferencia,Comprensión,otros: En principio puedo hacer cursos de formación pero al no estar trabajando no puedo enterarme de los diversos cursos que se imparten.,No,otros: Todavía no he vuelto. De momento no puedo contestar.,otros: Todavía no he vuelto. De momento no puedo contestar. Pero supongo que haré el mismo trabajo.,otros: Todavía no he vuelto. De momento no puedo contestar.,4,"Sí, creo que necesita alguna mejora.",Cuando vuelva a trabajar puede que tenga una respuesta más clara a esta pregunta ya que puede que tenga alguna repercusión.,4,otros: Creo que se promociona mucho pero no se hace lo que se dice.,,"A falta de la reincorporación laboral, de momento, diría que positiva. En el momento de solicitarla no me pusieron trabas.",De momento no.,Mujer,Vivo en pareja,Formación profesional ,Trabajo en el sector público,Indefinido
2,3,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",si,"1r hijo, 14 meses","2º hijo, 4 meses",,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,"Siendo profesora, prefería reincorporarme en septiembre. Con mi primera hija, como madre primeriza, a los 4 meses y medio me parecía una locura volver a un trabajo que t absorbe casi las 24 horas del día.  Me veía muy 'verde'. Esto me hacía sufrir porque estaba también dando pecho y lo veía inviable con volver a trabajar. Por otra parte, empecé a participar con mi matrona en el centro de salud en el taller de lactancia y me empapé de paz y amor a la crianza. No quería romper de pronto y tan pronto con esto. Otro motivones que, afortunadamente y no sé aún cómo, me lo pude permitir (14 meses sin cobrar!)",NA,NA,Con mi segundo hijo ya me pilló más entrenada y a sus 8 meses me ví preparada para colver en septiembre a mi trabajo de profesora. ,no,No nos planteamos esa opción,"En el ámbito escolar, a los profes se nos ofrecen X horas de lactancia al día o juntarlas todas que suman un mes más de baja. ",NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Es de mayor rango ,5,"Sí, creo que necesita alguna mejora.",No para mi ámbito profesional. Tuve suerte. Supongo que propondía la misma garantía y seguridad que yo tuve para todos los sectores laborales. ,1,"Sí, creo que necesita alguna mejora.","Si existiese un buen sistema de conciliación familiar, mi excedencia primera no hubiera sido tan larga. Creo que en este tipo de excedencia, el trabajador no debería perder todo el salario. ","Si uno se lo puede permitir, muy recomendable. 
Se trata de vivir al 100% una parte de tu vida y la primera parte de la vida de tu hijo. 
Momentos  únicos, irrepetible",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
2,,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,9 meses,Fue a la vez (mellizos),No,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,No,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Es de mayor rango ,3,"Sí, creo que necesita alguna mejora.","La implantación del aumento del permiso por maternidad remunerado. No todas las familias pueden permitirse quedarse sin un sueldo durante meses. Además, al principio los bebés tienen muchos gastos.",2,"Sí, creo que necesita alguna mejora.","Mayor flexibilidad horaria, jornadas más cortas, apoyo a carrera profesional, apoyo económico","Feliz , ruinosa, útil ",En realidad necesitamos aumento del permiso de maternidad remunerado como en el norte de Europa. Esto es un apaño que tiene un coste económico muy alto para las familias. ,Mujer,Vivo en pareja,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
2,2,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,"1 mes, segundo hijo ",,,otros: Pedí la excedencia para acompañar al bebé a la escuela en su periodo de adaptación ,NA,NA,NA,NA,,no,otros: No era necesario ,Reducción de jornada,NA,NA,Comprensión,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,La excedencia no ha acabado aún,otros: Aún no he acabado pero volveré a mi puesto normal ,,1,"otros: Considero que la excedencia por cuidado de hijo está sustituyendo el derecho a una baja por maternidad y por paternidad de mayor duración, que es necesaria. ",,1,"Sí, creo que necesita alguna mejora.","Bajas por maternidad y paternidad de seis meses, intransferibles e iguales.
Horarios flexibles y opción de teletrabajo en puestos que lo permitan.
Jornadas de oficina con límite horario a las 17:00 salvo necesidades especiales.
","Injusta, insuficiente, económicamente inviable ",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
2,3,,,"No, no cuento con nadie más",no,4 mesed,,,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,"Como después de la primera excedencia perdí mi puesto, con el segundo hijo no la solicité",no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Flexibilidad de horario,Reducción de jornada,NA,Indiferencia,Indiferencia,"Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.",No,Cambié de puesto,Realicé trabajos de menor responsabilidad ,Es de menor rango ,5,"Sí, creo que necesita alguna mejora.",No hacer cambios de puesto tras la excedencia a no ser que la trabajadora lo solicite,5,"Sí, creo que necesita alguna mejora.",,agridulce,,Mujer,Casado/a,Doctorado,Trabajo en el sector privado,Indefinido
2,3,,,"Sí, los abuelos u otros familiares viven en el hogar ",no,0,3,0,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,0,no,No nos planteamos esa opción,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,otros: No hace tres años,7,"Sí, creo que necesita alguna mejora.","Remunearlo con parte del sueldo, aunque sea poco",2,"Sí, creo que necesita alguna mejora.","Mejores horarios, posibilidad de trabajar desde casa",La mejor etapa de mi vida,No,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,3,,,"Sí, los abuelos u otros familiares viven en el hogar ",si,8,9,,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,,5,"Sí, creo que necesita alguna mejora.",Que fuera remunerada para que las familias no se descapitalizaran por atender a sus hijos,1,"Sí, creo que necesita alguna mejora.","Bajas hasta el año con mínimo. Lo ideal hasta los dos años. Una vez incorporados flexibilidad horaria, posibilidad de atender a los hijos en épocas vacacionales, teletrabajo","Alegria por poder acompañar durante su primer año de vida a mis hijos, agobio por el tema económico, tristeza en la reincorporación al sentir que todavía eran muy pequeños para dejarlos con otras personas",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,,,,"No, no cuento con nadie más",no,6,,,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),No tenía una opción real de adaptar la jornada a mis necesidades familiares ,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,No facilita ninguna de estas opciones,NA,NA,Hostilidad,Hostilidad,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",Realicé algún trabajo sin contrato,Salí del mercado laboral,Realicé trabajos de menor responsabilidad ,Los puestos no son comparables,1,otros: Eliminaria,Que no le cueste nada económicamente a la empresa ,1,"Sí, creo que necesita alguna mejora.",Es incompatible con la mayoría de los trabajos ,Dejar la empresa,Y los autónomos?,Mujer,Casado/a,Estudios secundarios ,Trabajo por cuenta propia,otros: Autónoma
2,10,,,"No, no cuento con nadie más",si,4,3,0,Sentía que mi puesto de trabajo estaba asegurado,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),NA,NA,NA,Mi segunda hija nació prematura y necesita más tiempo,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,7,"No, considero que funciona bien.",,5,"Sí, creo que necesita alguna mejora.",La bajas de paternidad y maternidad deberían ser más largas y equilibras,Tiempo de calidad,"Las excedencias son un fuerte esfuerzo económico, y si las bajas de maternidad y paternidad fueran más largas no serían necesarios estos esfuerzos ",Mujer,Vivo en pareja,Formación profesional ,Trabajo en el sector privado,Indefinido
2,2,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,6 meses en mi segundo hijo ,,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,otros: Lactancia materna ,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,otros: Tenía turno rodado y lo cambié a mañanas fijas de lunes a viernes por la crianza ,otros: Antes trabajaba como auxiliar de enfermería y cuando me incorporé me llamaron para trabajar de enfermera ,,1,"Sí, creo que necesita alguna mejora.",Para fomentar la lactancia materna y la crianza de tus hijos aumentaría la baja maternal hasta los tres años (edad escolar)  pudiendo disfrutarlas cualquiera de la pareja. Es una barbaridad llevar a tu bebé de 4 meses a la guardería y dejar de darle pecho. La OMS recomienda la lactancia materna hasta las 2 años. ,3,"Sí, creo que necesita alguna mejora.",Para coger una excedencia necesitas mucho dinero y muy poca gente se lo puede permitir. Por eso el aumento de tiempo de baja por maternidad. ,"Maravillosa, irrepetible, un tiempo que ya no vuelve y que por falta de dinero se terminó y me incorporé al trabajo. ",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
